Sample,ID,Day ,Date ,Animal ,Group ,BW ,FoodIntake,WaterIntake,TT ,FecalWeight,DNAconc_01,DNAconc_02
S12,M01_D02,D02,24_01_23,M01,Control ,21.2,4,4,212,51.7,21.8,4.03
S49,M02_D02,D02,24_01_23,M02,Control ,20.7,4,4.2,245,55.4,90.4,5.02
S29,M03_D02,D02,24_01_23,M03,Control ,18.1,4,3,391,154.5,140,3.71
S03,M04_D02,D02,24_01_23,M04,Control ,22.6,5,5,283,51.1,37.2,2.88
S56,M05_D02,D02,24_01_23,M05,Control ,19.1,4,4,192,43.9,20.1,5.21
S01,M06_D02,D02,24_01_23,M06,Control ,21.2,3,4,329,50.8,9.15,4.72
S21,M07_D02,D02,24_01_23,M07,Low,22.7,5,5,137,32.2,17.3,5.82
S13,M08_D02,D02,24_01_23,M08,Low,21,4,0,309,59.2,44.5,5.63
S63,M09_D02,D02,24_01_23,M09,Low,19,3,4,218,22.3,17.2,6.49
S57,M10_D02,D02,24_01_23,M10,Low,19.7,3,4,253,55.4,102,5.41
S27,M11_D02,D02,24_01_23,M11,Low,18.4,NA,3,244,39.6,25.4,6.48
S34,M12_D02,D02,24_01_23,M12,Low,21.1,3,4,302,162.8,163,3.98
S39,M13_D02,D02,24_01_23,M13,Medium,20.9,3,5,271,71.8,110,4.03
S25,M14_D02,D02,24_01_23,M14,Medium,22.4,3,4,270,53.8,9.67,6.55
S68,M15_D02,D02,24_01_23,M15,Medium,19.4,4,3,205,60.1,60,4.51
S33,M16_D02,D02,24_01_23,M16,Medium,20.7,4,3,369,35.3,21.7,6.06
S20,M17_D02,D02,24_01_23,M17,Medium,22.1,3,4,206,68.6,56,4.87
S50,M18_D02,D02,24_01_23,M18,Medium,20.6,3,3,159,93.2,104,5.49
S08,M19_D02,D02,24_01_23,M19,High ,20,2,4,241,33.8,133,4.54
S48,M20_D02,D02,24_01_23,M20,High ,19.2,2,4,333,270.2,103,5.75
S30,M21_D02,D02,24_01_23,M21,High ,20.5,3,5,241,111.3,28.1,4.01
S35,M22_D02,D02,24_01_23,M22,High ,22.3,4,5,196,35.3,33.4,4.34
S09,M23_D02,D02,24_01_23,M23,High ,19.9,NA,4,271,107.1,97.5,3.84
S40,M24_D02,D02,24_01_23,M24,High ,20.3,2,3,231,66.3,109,3.83
S10,M01_D05,D05,27_01_23,M01,Control ,21.2,4,4,423,53.1,117,3.72
S16,M02_D05,D05,27_01_23,M02,Control ,20.5,2,4,190,55.4,77.6,3.22
S55,M03_D05,D05,27_01_23,M03,Control ,18.8,4,4,246,35.6,47.1,5.19
S19,M04_D05,D05,27_01_23,M04,Control ,22.6,3,4,250,47.7,44.3,2.63
