ID,Animal ,Day ,Group ,Treatment ,TT_D02,TT_D05,TT_D08,TT_D10,TT_AV,TT,TT_D05_log,TT_D08_log,TT_D10_log,TT_AV_log,bac_load,bac_load_log,Erysipelotrichaceae,Bacteroidaceae,Porphyromonadaceae,Akkermansiaceae,Sutterellaceae,Rikenellaceae,Prevotellaceae,Eggerthellaceae,Deferribacteraceae,Clostridiaceae_1,Phocaeicola,Bacteroides,Longibaculum,Amedibacillus,Holdemania
M01_D02,M01,D02,Control ,Control ,212,NA,NA,NA,NA,,NA,NA,NA,NA,4094166133,9.596717504,8.982207263,9.781262187,8.453290563,4.441082884,7.900448594,10.18083182,9.726986151,9.329508404,4.441082884,6.754320559,9.212202455,9.644741578,8.553661107,8.66813441,7.958440549
M02_D02,M02,D02,Control ,Control ,245,NA,NA,NA,NA,,NA,NA,NA,NA,9375917784,9.977119902,8.894328003,8.973509249,7.991238016,4.98663223,7.769389267,10.33009276,8.195357999,9.279039746,4.98663223,7.593298008,8.292268013,8.87205161,7.769389233,8.496387996,8.522716929
M03_D02,M03,D02,Control ,Control ,391,NA,NA,NA,NA,,NA,NA,NA,NA,5549938215,9.757563506,8.880271764,9.689991765,8.447354172,4.64290543,7.997385163,10.06421913,9.77090566,9.168180083,6.955992478,4.64290543,9.302345452,9.461142456,7.734143726,8.719420471,8.102120505
M04_D02,M04,D02,Control ,Control ,283,NA,NA,NA,NA,,NA,NA,NA,NA,5957535153,9.774117299,8.760662402,9.4248703,8.151869028,7.725900296,7.64671905,10.02981598,9.16523299,9.327960287,7.725900296,8.327960287,9.226502647,8.989141729,4.635036495,6.947748925,8.740140737
M05_D02,M05,D02,Control ,Control ,192,NA,NA,NA,NA,,NA,NA,NA,NA,4033200378,9.616351379,9.065668913,9.123352302,7.996247504,4.488040482,7.519126249,9.992467213,10.07615197,9.538657934,7.519126249,4.488040482,8.723246233,8.902941615,8.297277495,7.665254297,8.884614233
M06_D02,M06,D02,Control ,Control ,329,NA,NA,NA,NA,,NA,NA,NA,NA,1793852128,9.257658002,8.32381842,8.965172327,7.504274485,4.18166179,7.349372525,9.487449557,9.05204919,8.783028085,4.18166179,6.504274485,8.106334475,8.900473832,7.50427449,8.04834253,7.583455732
M07_D02,M07,D02,Low,Treatment ,137,NA,NA,NA,NA,,NA,NA,NA,NA,4808047307,9.685326882,9.009728739,9.425842716,8.726872712,4.616194879,7.719694127,10.64336981,10.10410728,9.285935151,4.616194879,4.616194879,8.839169968,9.295651316,8.418664133,8.303270713,8.446692858
M08_D02,M08,D02,Low,Treatment ,309,NA,NA,NA,NA,,NA,NA,NA,NA,8081577671,9.917381774,9.387321188,9.380372328,8.366131889,7.809829388,8.764071898,10.38755091,10.49287643,9.577727004,7.712919375,7.41188938,8.366131885,9.336168666,8.152252068,9.148285882,8.801055462
M09_D02,M09,D02,Low,Treatment ,218,NA,NA,NA,NA,,NA,NA,NA,NA,8619619071,9.9338535,9.582988044,9.515735736,8.32218305,4.891811488,7.907209702,9.911531076,10.27679659,9.924243042,4.891811488,4.891811488,8.412359682,9.480081304,9.14273815,9.027783635,9.000631389
M10_D02,M10,D02,Low,Treatment ,253,NA,NA,NA,NA,,NA,NA,NA,NA,15544678776,10.19709298,9.143944708,9.815827622,8.112536244,5.20049751,8.464718762,10.58199006,10.64877895,9.727960197,9.273904246,7.510476253,9.510476253,9.519076425,7.811506232,7.811506232,8.987597505
M11_D02,M11,D02,Low,Treatment ,244,NA,NA,NA,NA,,NA,NA,NA,NA,8686633592,9.941437756,8.860811107,9.252268988,8.304508606,4.802987689,7.605538602,10.1787971,10.28344958,10.14209704,7.128417347,7.906568598,8.450636636,9.17763537,8.383689848,8.490145188,7.730477319
M12_D02,M12,D02,Low,Treatment ,302,NA,NA,NA,NA,,NA,NA,NA,NA,7647992454,9.885013333,9.277498121,9.275492138,8.446188365,4.637931157,8.321249629,10.29706424,9.610355267,9.340712108,6.941038387,7.640008391,7.786136407,9.261184672,4.637931157,9.219791987,8.054981732
M13_D02,M13,D02,Medium,Treatment ,271,NA,NA,NA,NA,,NA,NA,NA,NA,13226346572,10.1256241,9.588897836,10.29362017,9.02823053,8.4639591,8.287867841,10.61008714,9.854108864,10.09177995,8.986837845,9.014866569,9.842155051,10.10410914,8.941080355,7.810746626,8.852139271
M14_D02,M14,D02,Medium,Treatment ,270,NA,NA,NA,NA,,NA,NA,NA,NA,2279475331,9.357482579,8.942166121,8.786468021,8.050071518,4.337399028,6.749041523,9.569242982,9.720781113,9.68605763,4.337399028,6.749041523,8.36182538,8.581550434,8.838946634,7.749041529,6.749041441
M15_D02,M15,D02,Medium,Treatment ,205,NA,NA,NA,NA,,NA,NA,NA,NA,10154107362,10.01775817,9.270235032,9.923447546,8.969205037,8.077110434,8.15629168,10.51422653,10.03519628,9.077110434,9.592984278,7.855261685,8.980200423,9.870900819,5.063206596,7.980200405,8.855261684
M16_D02,M16,D02,Medium,Treatment ,369,NA,NA,NA,NA,,NA,NA,NA,NA,7544647810,9.888803987,8.769892777,9.536098043,8.366873243,4.76003628,7.437454317,10.48258162,10.01379567,9.81947136,7.835394326,7.136424322,8.789636838,9.450291542,8.437454313,7.136424425,7.738484297
M17_D02,M17,D02,Medium,Treatment ,206,NA,NA,NA,NA,,NA,NA,NA,NA,7921457008,9.9152022,8.214705108,9.014045658,8.059803149,4.899857336,7.214705108,9.976632947,9.418825091,9.570730966,7.8167651,4.899857336,8.445154034,8.877462938,4.899857336,7.214705125,8.117795086
M18_D02,M18,D02,Medium,Treatment ,159,NA,NA,NA,NA,,NA,NA,NA,NA,6290573210,9.797784242,8.489257218,9.939848425,8.576407394,4.74390869,7.756863458,10.42969991,9.347928065,9.095319952,4.74390869,7.659953445,9.65449055,9.622559518,4.74390869,7.756863446,8.204021484
M19_D02,M19,D02,High,Treatment ,241,NA,NA,NA,NA,,NA,NA,NA,NA,28910664384,10.4702154,10.00653865,10.39360838,9.233239901,5.443882775,9.117846482,11.10617274,10.36250001,10.03258045,9.835299892,9.24748034,10.0302765,10.14705375,8.358178613,9.943639367,9.011391157
M20_D02,M20,D02,High,Treatment ,333,NA,NA,NA,NA,,NA,NA,NA,NA,2685874290,9.44425658,8.64467103,9.172944807,7.930637279,7.955460863,4.392504689,9.636199153,8.191550051,9.270731297,8.506368331,6.700188357,8.74940638,8.967360086,4.392504689,8.644671029,4.392504689
M21_D02,M21,D02,High,Treatment ,241,NA,NA,NA,NA,,NA,NA,NA,NA,2500569368,9.406873957,8.732830946,9.817151832,9.079888096,6.827035066,8.656338838,9.661455769,9.108068433,9.292417917,4.208891223,6.52600507,9.303431892,9.658264759,7.923945083,8.318396762,7.988403067
M22_D02,M22,D02,High,Treatment ,196,NA,NA,NA,NA,,NA,NA,NA,NA,10700754483,10.03342631,9.859152684,9.850664574,8.3220335,8.623063496,7.969850982,9.718039009,10.60709047,9.749808033,7.844912245,5.047994494,9.501329899,9.593100272,8.066761004,7.367791,9.14594224
M23_D02,M23,D02,High,Treatment ,271,NA,NA,NA,NA,,NA,NA,NA,NA,6166340439,9.791673618,8.354300452,9.594060791,8.718999528,4.761179816,8.029789361,10.61862109,9.655330448,9.518026621,8.655330448,4.761179816,8.994624945,9.468243805,7.853698102,7.920644881,4.761179816
M24_D02,M24,D02,High,Treatment ,231,NA,NA,NA,NA,,NA,NA,NA,NA,18503341206,10.27229444,10.10490367,9.985717265,8.838242579,7.777544739,8.798734038,10.01559084,10.39820122,10.23391077,8.517907428,10.22779385,9.007993659,9.937412585,9.661206174,8.891488089,8.953636001
M01_D05,M01,D05,Control ,Control ,NA,423,NA,NA,NA,423,2.626340367,NA,NA,NA,20788417459,10.3244891,10.1306763,9.748578577,8.22353377,7.621473779,8.524563766,10.45077755,9.748578577,10.25796168,5.303519353,7.621473779,8.767601817,9.700655024,9.519100871,9.223533772,9.384901771
M02_D05,M02,D05,Control ,Control ,NA,190,NA,NA,NA,190,2.278753601,NA,NA,NA,10003944763,10.00998212,9.079960969,9.563921649,8.618079681,7.933832934,8.602839715,10.73363281,9.763136707,9.05877167,4.844719856,8.647043377,8.955022235,9.441238993,7.75774168,8.711984181,8.757741672
M03_D05,M03,D05,Control ,Control ,NA,246,NA,NA,NA,246,2.390935107,NA,NA,NA,9096700157,9.954423959,9.24498599,9.194907125,8.416755875,4.925902687,8.194907125,9.921000129,10.04069397,9.481213864,7.93963462,4.925902687,8.638604627,9.053577972,8.808866338,8.444784593,8.808866338
M04_D05,M04,D05,Control ,Control ,NA,250,NA,NA,NA,250,2.397940009,NA,NA,NA,6772054629,9.82995984,8.410358418,9.466676781,7.898475057,6.99538507,4.685828813,10.31863717,9.822754343,8.982156804,8.036777755,6.99538507,8.876198662,9.337807751,4.685828813,4.685828813,8.337807753
M05_D05,M05,D05,Control ,Control ,NA,334,NA,NA,NA,334,2.523746467,NA,NA,NA,5088104417,9.716521213,8.973988825,8.728816646,7.810486693,7.567448644,7.567448644,9.871184533,9.772246682,9.559781203,6.965388653,4.647106203,8.345599896,8.496867567,8.22066116,8.442509909,8.567448642
M06_D05,M06,D05,Control ,Control ,NA,353,NA,NA,NA,353,2.547774705,NA,NA,NA,5880083977,9.762185626,7.868922762,8.987612549,7.500945976,4.71600541,7.324854717,10.26760664,8.515186415,9.073042744,8.801975972,4.71600541,7.926914698,8.948104008,4.71600541,7.500945945,7.324854767
M07_D05,M07,D05,Low,Treatment ,NA,353,NA,NA,NA,353,2.547774705,NA,NA,NA,2305679944,9.37690825,8.704425422,9.326140102,8.227304168,4.34795939,7.516099707,9.795505892,9.355847028,9.15100861,7.449152917,4.34795939,8.903997777,9.119707987,7.972031664,7.817129708,8.411364356
M08_D05,M08,D05,Low,Treatment ,NA,357,NA,NA,NA,357,2.552668216,NA,NA,NA,12465854256,10.10475967,9.513098175,9.848890277,8.784164947,8.115158166,8.916790513,9.332642111,10.37002836,9.75030668,8.291249425,5.014353131,8.980459594,9.785713236,8.291249428,8.768370683,9.212068181
M09_D05,M09,D05,Low,Treatment ,NA,396,NA,NA,NA,396,2.597695186,NA,NA,NA,14658226922,10.17315278,9.600520226,9.937661968,8.985723414,5.035541833,7.839595378,10.2269852,10.19370382,10.24499866,7.839595378,5.035541833,9.125902117,9.864901243,9.344745356,8.207572147,9.078477467
M10_D05,M10,D05,Low,Treatment ,NA,397,NA,NA,NA,397,2.598790507,NA,NA,NA,11099312961,10.05388197,9.556279598,10.06188939,8.563578837,4.862972765,8.183367595,10.19788813,10.90649475,10.00291153,7.961518845,9.107646881,9.726193022,9.792962004,9.034625942,7.183367531,9.200400934
M11_D05,M11,D05,Low,Treatment ,NA,675,NA,NA,NA,675,2.829303773,NA,NA,NA,12154869944,10.08373517,9.516829899,9.773858145,8.866997126,7.23352867,8.409619929,10.11262455,10.53477576,10.04710966,7.23352867,7.23352867,9.421049392,9.519085978,9.400846006,8.078626703,8.4639776
M12_D05,M12,D05,Low,Treatment ,NA,509,NA,NA,NA,509,2.706717782,NA,NA,NA,9727040290,9.998738313,8.932261177,9.016582063,8.212101873,4.701380552,8.552049935,10.3326758,9.878970705,9.473364742,7.007981891,4.701380552,8.121925244,8.957371897,7.61004193,8.641450342,8.455139926
M13_D05,M13,D05,Medium,Treatment ,NA,673,NA,NA,NA,673,2.828015064,NA,NA,NA,4969274851,9.709370482,8.73937259,10.22886232,8.895719791,7.915463849,8.137312599,10.57156205,9.667939122,9.433977789,8.359161349,6.96122134,9.811867575,10.01926757,8.191670266,7.563281339,8.075164696
M14_D05,M14,D05,Medium,Treatment ,NA,507,NA,NA,NA,507,2.705007959,NA,NA,NA,8353905136,9.923344061,9.131961419,10.14639913,9.131961419,4.956123575,7.757824325,10.37622111,10.2905787,9.97530827,7.882763062,4.956123575,9.763576654,9.914171526,8.837005571,4.956123575,8.642430903
M15_D05,M15,D05,Medium,Treatment ,NA,631,NA,NA,NA,631,2.800029359,NA,NA,NA,4438533114,9.655716956,9.151084632,9.402377735,8.455343598,8.065372519,8.38570767,9.751521091,9.445583761,9.267017882,4.710765936,8.279252339,8.555458753,9.335733695,7.869077878,7.501101084,8.70522107
M16_D05,M16,D05,Medium,Treatment ,NA,410,NA,NA,NA,410,2.612783857,NA,NA,NA,2971015197,9.465948404,8.150430592,9.426892396,8.800414135,4.336653725,7.877429319,9.816948572,9.498735455,9.541365699,7.372279341,7.150430592,9.291357434,8.855152924,8.035037174,4.336653725,6.974339357
