ID,Day ,Date ,Animal ,Group ,BW ,FoodIntake,WaterIntake,Bacload,TT ,TT_FoldChange,TT_Increase,ox_iaa_cecum,Acetic_acid_cecum,Propanoic_acid_cecum,Butanoic_acid_cecum,Isobutyric_acid_cecum,Isovaleric_acid_cecum,Valeric_acid_cecum,Caproic_acid_cecum,Isocaproic_acid_cecum,Acetic_acid_feces,Propanoic_acid_feces,Butanoic_acid_feces,Isobutyric_acid_feces,Isovaleric_acid_feces,All_SCFAs_feces,Acetic_acid_change,Propanoic_acid_change,Butanoic_acid_change,Isobutyric_acid_change,Isovaleric_acid_change
M01_D01,D01,23_01_23,M01,Control ,22.8,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,
M02_D01,D01,23_01_23,M02,Control ,22.2,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,
M03_D01,D01,23_01_23,M03,Control ,19,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,
M04_D01,D01,23_01_23,M04,Control ,22.8,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,
M05_D01,D01,23_01_23,M05,Control ,18.7,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,
M06_D01,D01,23_01_23,M06,Control ,21.7,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,
M07_D01,D01,23_01_23,M07,Low,22.4,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,
M08_D01,D01,23_01_23,M08,Low,20.5,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,
M09_D01,D01,23_01_23,M09,Low,19.1,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,
M10_D01,D01,23_01_23,M10,Low,20,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,
M11_D01,D01,23_01_23,M11,Low,18.7,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,
M12_D01,D01,23_01_23,M12,Low,22.2,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,
M13_D01,D01,23_01_23,M13,Medium,20.5,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,
M14_D01,D01,23_01_23,M14,Medium,22.5,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,
M15_D01,D01,23_01_23,M15,Medium,20,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,
M16_D01,D01,23_01_23,M16,Medium,20.5,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,
M17_D01,D01,23_01_23,M17,Medium,22.3,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,
M18_D01,D01,23_01_23,M18,Medium,20.8,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,
M19_D01,D01,23_01_23,M19,High ,20.4,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,
M20_D01,D01,23_01_23,M20,High ,20.1,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,
M21_D01,D01,23_01_23,M21,High ,20,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,
M22_D01,D01,23_01_23,M22,High ,21.5,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,
M23_D01,D01,23_01_23,M23,High ,20.3,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,
