ID,Day ,Date ,Animal ,TT_D10,TT_Increase,TT_av,ox_iaa_cecum,Acetic_acid_cecum,Propanoic_acid_cecum,Butanoic_acid_cecum,Isobutyric_acid_cecum,Isovaleric_acid_cecum,Erysipelotrichaceae_D09,Bacteroidaceae_D09,Porphyromonadaceae_D09,A_municiphila_D09
M01_D10,D10,01_02_23,M01,384,172,358.5,15.1475037,5290.55298,641.5117852,1618.991353,88.329,48.816,9.001336765,9.584452561,8.291642896,-0.301029996
M02_D10,D10,01_02_23,M02,184,-61,259,6.47691491,2807.170521,548.4474121,756.6341207,57.561,46.053,9.543329081,9.797153333,9.272153857,7.417847815
M03_D10,D10,01_02_23,M03,393,2,363,45.7380992,4261.904992,830.7547549,2809.344311,100.624,45.064,9.257167661,9.363006216,8.45381363,6.72953776
M04_D10,D10,01_02_23,M04,197,-86,253.5,52.2810102,3826.217252,699.273897,1553.012149,86.964,47.77,8.0585426,8.761116728,7.523429398,-0.301029996
M05_D10,D10,01_02_23,M05,301,109,362,44.6375442,6289.659675,806.3231014,1723.716712,92.584,49.082,8.781108324,9.62231132,8.422086382,-0.301029996
M06_D10,D10,01_02_23,M06,385,56,390.5,69.6575096,6070.00205,701.7428251,1426.513341,92.943,54.65,7.858899407,8.716231903,7.284868139,-0.301029996
M07_D10,D10,01_02_23,M07,382,245,401,68.7540134,2939.535425,595.3278425,2722.053262,66.248,38.74,9.968811284,10.6271272,9.415403213,7.752645381
M08_D10,D10,01_02_23,M08,434,125,474,45.3672196,2711.195666,766.5567583,1236.337117,55.569,36.709,10.25376853,10.69966638,9.772027073,8.977306721
M09_D10,D10,01_02_23,M09,413,195,415,87.076767,4000.744161,617.367003,1288.010317,77.328,44.486,9.178935628,9.558746782,8.665550036,6.620227057
M10_D10,D10,01_02_23,M10,369,116,363,100.078002,2304.180663,747.0825373,950.3941585,40.33,29.598,9.786942975,10.10592594,8.474109584,7.261034759
M11_D10,D10,01_02_23,M11,368,124,379,107.745636,4735.003254,793.9886528,1491.871732,83.875,51.608,10.28451058,10.85018978,9.405554278,8.205329339
M12_D10,D10,01_02_23,M12,461,159,425,66.8931088,3348.656903,840.2002439,2311.312418,62.676,39.816,9.999546733,10.05787058,8.899972329,-0.301029996
M13_D10,D10,01_02_23,M13,536,265,592,87.6865339,4125.221474,849.2464192,2288.163043,66.402,36.392,9.816182937,10.1189606,8.700484857,7.898852511
M14_D10,D10,01_02_23,M14,452,182,472,60.9553171,3294.263307,487.543232,769.2031323,25.022,24.32,10.11176736,10.75499663,9.676759779,7.528568583
M15_D10,D10,01_02_23,M15,652,447,501,66.3028618,3022.004615,875.9401648,979.7624653,67.092,43.089,10.29254516,10.31835242,8.602349077,8.813202442
M16_D10,D10,01_02_23,M16,534,165,489,95.2965371,3922.541324,925.8722104,3083.997264,80.688,40.413,10.10683051,9.596458489,9.357949826,7.950194835
M17_D10,D10,01_02_23,M17,469,263,587,62.8524731,6706.986447,699.7956998,3208.740444,138.177,87.625,8.809921329,9.943814908,8.944798588,7.714349667
M18_D10,D10,01_02_23,M18,361,202,411.5,82.3343416,3977.542409,776.4513611,1731.152496,50.857,33.639,9.820598794,10.13248026,9.139566805,7.600490706
M19_D10,D10,01_02_23,M19,554,313,577.5,66.8131698,3584.963853,966.5533105,1753.386104,66.626,40.106,10.36098494,1.10E+01,9.655743428,9.091471998
M20_D10,D10,01_02_23,M20,650,317,654.5,106.143139,4069.824756,966.65778,1857.609777,94.87,62.832,10.48464246,10.90804898,9.880876009,8.555223539
M21_D10,D10,01_02_23,M21,473,232,465.5,133.073274,8365.537372,2291.544011,2614.352907,167.668,125.16,10.32939071,10.58409846,9.60154458,8.351667107
M22_D10,D10,01_02_23,M22,552,356,504.5,128.192349,6015.519879,1422.284293,3011.702315,132.058,65.648,9.8117537,9.882911399,8.458029762,7.458029762
M23_D10,D10,01_02_23,M23,606,335,508,93.0247834,4046.895315,924.9073919,2811.355497,78.549,45.77,9.70490095,10.22252342,9.017741906,7.882079304
M24_D10,D10,01_02_23,M24,505,274,480.5,83.0277656,4363.937802,965.77683,2439.022462,80.923,47.097,10.3391604,10.28574297,9.23138531,7.754264055
