ID,Animal ,Day ,Group ,Treatment ,TT_D05,TT_D08,TT_D10,TT_AV,TT_D05_log,TT_D08_log,TT_D10_log,TT_AV_log,bac_load,bac_load_log,Erysipelotrichaceae,Bacteroidaceae,Porphyromonadaceae,Akkermansiaceae,Rikenellaceae,Prevotellaceae,Sutterellaceae,Eggerthellaceae,Deferribacteraceae,Clostridiaceae_1,Atopobiaceae,Phocaeicola,Bacteroides,Longibaculum ,Amedibacillus,Holdemania
M01_D02,M01,D02,Control ,Control ,NA,NA,NA,NA,NA,NA,NA,NA,4094166133,9.596717504,0.234445446,1.476035236,0.069362558,0,3.703960602,1.302628841,0.019421516,0.521606437,0,0.001387251,0,0.398141083,1.077894153,0.087396823,0.11375459526947354,0.022196019
M02_D02,M02,D02,Control ,Control ,NA,NA,NA,NA,NA,NA,NA,NA,9375917784,9.977119902,0.08362078,0.100344936,0.010452597,0,2.280756768,0.016724156,0.006271558,0.202780391,0,0.004181039,0,0.020905195,0.079439741,0.006271558,0.033448312,0.035538831
M03_D02,M03,D02,Control ,Control ,NA,NA,NA,NA,NA,NA,NA,NA,5549938215,9.757563506,0.136767723,0.88247745,0.050473802,0,2.088964147,1.063206226,0.017910059,0.26539451,0.001628187,0,0,0.361457553,0.521019896,0.009769123,0.094434856,0.022794620469569184
M04_D02,M04,D02,Control ,Control ,NA,NA,NA,NA,NA,NA,NA,NA,5957535153,9.774117299,0.096737707,0.446481724,0.023812359,0.008929634,1.797833075,0.245564948,0.007441362,0.357185379,0.008929634,0.035718538,0,0.282771759,0.163709965,0,0.001488272,0.09227289
M05_D02,M05,D02,Control ,Control ,NA,NA,NA,NA,NA,NA,NA,NA,4033200378,9.616351379,0.288415843,0.329384003,0.024580896,0,2.43678613,2.954623666,0.008193632,0.857053898,0.008193632,0,0,0.131098111,0.198285892,0.049161791,0.011471084672992151,0.1900922602952985
M06_D02,M06,D02,Control ,Control ,NA,NA,NA,NA,NA,NA,NA,NA,1793852128,9.257658002,0.117498353,0.514500365,0.017802781,0,1.712627512,0.628438162,0.012461947,0.338252835,0,0.001780278,0,0.071211123,0.443289242,0.017802781,0.062309733,0.021363336953232094
M07_D02,M07,D02,Low,Treatment ,NA,NA,NA,NA,NA,NA,NA,NA,4808047307,9.685326882,0.212696335,0.554464805,0.110892961,0,9.149578243,2.643251891,0.010907504,0.401759744,0,0,0,0.143615474,0.410849331,0.054537522,0.0418121,0.058173356602675974
M08_D02,M08,D02,Low,Treatment ,NA,NA,NA,NA,NA,NA,NA,NA,8081577671,9.917381774,0.301873533,0.297081889,0.02874986,0.007986072,3.02033254,3.849286844,0.071874651,0.467983836,0.006388858,0.003194429,0.017569359,0.02874986,0.268332029,0.017569359,0.17409637592039484,0.078263508
M09_D02,M09,D02,Low,Treatment ,NA,NA,NA,NA,NA,NA,NA,NA,8619619071,9.9338535,0.444119631,0.380406266,0.024360992,0,0.94633086,2.194363241,0.009369612,0.974439697,0,0,0,0.02998276,0.350423506,0.161157335,0.12367888464133124,0.11618319466306873
M10_D02,M10,D02,Low,Treatment ,NA,NA,NA,NA,NA,NA,NA,NA,15544678776,10.19709298,0.089611337,0.420964885,0.008335938,0,2.457017818,2.865478795,0.018755861,0.343857455,0.120871106,0.002083985,0,0.208398458,0.212566427,0.004167969,0.004167969,0.062519537
M11_D02,M11,D02,Low,Treatment ,NA,NA,NA,NA,NA,NA,NA,NA,8686633592,9.941437756,0.08355253,0.205786786,0.023209036,0,1.737583166,2.211047501,0.004641807,1.59678168,0.001547269,0.009283614,0,0.03249265,0.173294136,0.027850843,0.035587189,0.006189076
M12_D02,M12,D02,Low,Treatment ,NA,NA,NA,NA,NA,NA,NA,NA,7647992454,9.885013333,0.247714067,0.246572528,0.036529263,0,2.59129462,0.533098937,0.027396948,0.28652641,0.001141539,0.005707697,0.069633908,0.007990776,0.238581751,0,0.21689250122715495,0.014840013241857969
M13_D02,M13,D02,Medium,Treatment ,NA,NA,NA,NA,NA,NA,NA,NA,13226346572,10.1256241,0.293398533,1.486552567,0.080684597,0.02200489,3.080684597,0.540342298,0.014669927,0.93398533,0.073349633,0.078239609,0,0.525672372,0.960880196,0.06601467,0.004889976,0.053789731
M14_D02,M14,D02,Medium,Treatment ,NA,NA,NA,NA,NA,NA,NA,NA,2279475331,9.357482579,0.384,0.268307692,0.049230769,0,1.627076923,2.306461538,0.002461538,2.129230769,0,0.002461538,0,0.100923077,0.167384615,0.302769231,0.024615384615384615,0.002461538
M15_D02,M15,D02,Medium,Treatment ,NA,NA,NA,NA,NA,NA,NA,NA,10154107362,10.01775817,0.183481922,0.82566865,0.091740961,0.011761662,3.217990638,1.067958881,0.014113994,0.117616617,0.385782503,0.007056997,0.103502623,0.094093294,0.731575357,0,0.009409329,0.07056997
M16_D02,M16,D02,Medium,Treatment ,NA,NA,NA,NA,NA,NA,NA,NA,7544647810,9.888803987,0.078028598,0.45546926,0.030848516,0,4.026638601,1.3682224,0.003629237,0.874646149,0.009073093,0.001814619,0,0.081657836,0.373811425,0.036292371,0.001814619,0.007258474
M17_D02,M17,D02,Medium,Treatment ,NA,NA,NA,NA,NA,NA,NA,NA,7921457008,9.9152022,0.020696649,0.13038889,0.014487654,0,1.196266324,0.331146387,0.002069665,0.469813937,0.00827866,0,0,0.035184304,0.095204586,0,0.002069665,0.016557319369993998
M18_D02,M18,D02,Medium,Treatment ,NA,NA,NA,NA,NA,NA,NA,NA,6290573210,9.797784242,0.049041867,1.384070475,0.05994006,0,4.275724276,0.354191263,0.009081827,0.197983834,0,0.007265462,0,0.717464354,0.666606121,0,0.009081827,0.025429116
M19_D02,M19,D02,High,Treatment ,NA,NA,NA,NA,NA,NA,NA,NA,28910664384,10.4702154,0.351140219,0.856150872,0.059180936,0,4.416870512,0.796969936,0.045372051,0.372839896,0.236723743,0.061153634,0,0.370867198,0.485283674,0.007890791,0.3037954706857098,0.035508561508719325
M20_D02,M20,D02,High,Treatment ,NA,NA,NA,NA,NA,NA,NA,NA,2685874290,9.44425658,0.164280247,0.554445834,0.031735957,0.033602778,1.611066515,0.057871451,0,0.694457408,0.119476543,0.001866821,0,0.209083951,0.345361883,0,0.16428024716709913,0
M21_D02,M21,D02,High,Treatment ,NA,NA,NA,NA,NA,NA,NA,NA,2500569368,9.406873957,0.216168316,2.624900979,0.480672404,0.002685321,1.834074034,0.512896253,0.181259147,0.784113643,0,0.00134266,0,0.804253548,1.820647431,0.033566509,0.083244942,0.038937150069147004
M22_D02,M22,D02,High,Treatment ,NA,NA,NA,NA,NA,NA,NA,NA,10700754483,10.03342631,0.675675676,0.662598082,0.019616391,0.039232781,0.488230166,3.781604185,0.008718396,0.525283348,0.006538797,0,0.002179599,0.296425458,0.366172624,0.010897995,0.002179599,0.13077593722755013
M23_D02,M23,D02,High,Treatment ,NA,NA,NA,NA,NA,NA,NA,NA,6166340439,9.791673618,0.036666795,0.63684434,0.084912579,0,6.738971014,0.733335906,0.017368482,0.534563279,0.073333591,0,0,0.160176001,0.476668339,0.011578988,0.013508819329190628,0
M24_D02,M24,D02,High,Treatment ,NA,NA,NA,NA,NA,NA,NA,NA,18503341206,10.27229444,0.688103102,0.522958358,0.037238521,0.003238132,0.560196878,1.351920212,0.034000389,0.926105822,0.017809727,0.913153293,0.18781167,0.055048248,0.467910109,0.247717117,0.042095719,0.048571984
M01_D05,M01,D05,Control ,Control ,423,NA,NA,NA,2.626340367,NA,NA,NA,20788417459,10.3244891,0.649912473,0.269623131,0.008048452,0.002012113,1.358176221,0.269623131,0.016096903,0.871244894,0,0.002012113,0,0.028169581,0.24145355,0.158956921,0.080484517,0.11670254934706935
M02_D05,M02,D05,Control ,Control ,190,NA,NA,NA,2.278753601,NA,NA,NA,10003944763,10.00998212,0.120168236,0.366227004,0.041486653,0.008583445,5.413292896,0.579382564,0.040056079,0.114445939,0,0.044347801,0,0.090126177,0.276100827,0.005722297,0.051500672369889276,0.057222969299876976
M03_D05,M03,D05,Control ,Control ,246,NA,NA,NA,2.390935107,NA,NA,NA,9096700157,9.954423959,0.193242261,0.172196074,0.028699346,0,0.916465771,1.207285807,0.017219607,0.33291241,0.009566449,0,0,0.047832243,0.124363831,0.070791719,0.030612635365247005,0.070791719
M04_D05,M04,D05,Control ,Control ,250,NA,NA,NA,2.397940009,NA,NA,NA,6772054629,9.82995984,0.03798726,0.432470341,0.011688388,0.001461048,3.075506984,0.981824557,0,0.141721699,0.016071533,0.001461048,0,0.111039682,0.321430659,0,0,0.032143066
M05_D05,M05,D05,Control ,Control ,334,NA,NA,NA,2.523746467,NA,NA,NA,5088104417,9.716521213,0.185111248,0.105259337,0.012703713,0.007259265,1.460927008,1.163297158,0.007259265,0.713222751,0.001814816,0,0,0.043555588,0.061703749,0.032666691,0.054444484773692424,0.072592646
M06_D05,M06,D05,Control ,Control ,353,NA,NA,NA,2.547774705,NA,NA,NA,5880083977,9.762185626,0.012575905,0.165283317,0.005389673,0,3.149365815,0.055693292,0.003593116,0.201214473,0.107793468,0,0,0.014372462,0.150910855,0,0.005389673,0.003593116
