Kingdom,Phylum,Class,Order,Family,Genus,Species,Mock,Sample,ASV,contam_phy,contam_harsh
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0.0586780669768222,8.55374002500547,ASV_0001,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0.0181622588261592,5.9885057280576,ASV_0002,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Family_Muribaculaceae,Family_Muribaculaceae,0.00838258099668888,3.89576611959093,ASV_0004,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0.00977967782947036,3.16619462148003,ASV_0005,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0.00558838733112592,3.34623338229219,ASV_0006,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Order_Bacteroidales,Order_Bacteroidales,Order_Bacteroidales,0,3.12981872732552,ASV_0007,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella,Genus_Duncaniella,0.0069854841639074,2.54470559902758,ASV_0008,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Family_Muribaculaceae,Family_Muribaculaceae,0.00977967782947036,2.2739309208708,ASV_0009,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0.00977967782947036,2.31603821708469,ASV_0010,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella,Genus_Duncaniella,0.00558838733112592,1.94582171032966,ASV_0011,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Family_Muribaculaceae,Family_Muribaculaceae,0.00279419366556296,1.8504183912479,ASV_0012,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Genus_Prevotella,0.00419129049834444,1.84728283173269,ASV_0013,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Family_Lachnospiraceae,Family_Lachnospiraceae,0.00977967782947036,1.74887270864444,ASV_0014,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Acetatifactor,Genus_Acetatifactor,0.00419129049834444,1.52461035205256,ASV_0015,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Genus_Ruminococcus,0.00279419366556296,1.42942927179003,ASV_0016,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Family_Muribaculaceae,Family_Muribaculaceae,0.00279419366556296,1.40069463420504,ASV_0017,FALSE,FALSE
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Genus_Limosilactobacillus,0.00279419366556296,1.25306102699798,ASV_0018,FALSE,FALSE
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter,Genus_Oscillibacter,0,1.22656913391295,ASV_0019,FALSE,FALSE
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella,Genus_Duncaniella,0.00139709683278148,1.17894984592343,ASV_0020,FALSE,FALSE
