Day,Group,Family,variable,n,mean,sd
D02,Control,Akkermansiaceae,Abundance,6,0.001,0.004
D02,High,Akkermansiaceae,Abundance,6,0.013,0.018
D02,Low,Akkermansiaceae,Abundance,6,0.001,0.003
D02,Medium,Akkermansiaceae,Abundance,6,0.006,0.009
D05,Control,Akkermansiaceae,Abundance,6,0.003,0.004
D05,High,Akkermansiaceae,Abundance,6,0.031,0.032
D05,Low,Akkermansiaceae,Abundance,6,0.002,0.004
D05,Medium,Akkermansiaceae,Abundance,6,0.007,0.011
D09,Control,Akkermansiaceae,Abundance,6,0.001,0.001
D09,High,Akkermansiaceae,Abundance,6,0.019,0.021
D09,Low,Akkermansiaceae,Abundance,6,0.012,0.017
D09,Medium,Akkermansiaceae,Abundance,6,0.014,0.008
D02,Control,Atopobiaceae,Abundance,6,0,0
D02,High,Atopobiaceae,Abundance,6,0.032,0.077
D02,Low,Atopobiaceae,Abundance,6,0.015,0.028
D02,Medium,Atopobiaceae,Abundance,6,0.017,0.042
D05,Control,Atopobiaceae,Abundance,6,0,0
D05,High,Atopobiaceae,Abundance,6,0.001,0.002
D05,Low,Atopobiaceae,Abundance,6,0.01,0.022
D05,Medium,Atopobiaceae,Abundance,6,0.075,0.183
D09,Control,Atopobiaceae,Abundance,6,0,0
D09,High,Atopobiaceae,Abundance,6,0.006,0.016
D09,Low,Atopobiaceae,Abundance,6,0.044,0.083
D09,Medium,Atopobiaceae,Abundance,6,0.004,0.007
D02,Control,Bacillaceae_1,Abundance,6,0,0.001
D02,High,Bacillaceae_1,Abundance,6,0,0
D02,Low,Bacillaceae_1,Abundance,6,0,0.001
D02,Medium,Bacillaceae_1,Abundance,6,0.002,0.003
D05,Control,Bacillaceae_1,Abundance,6,0.001,0.002
D05,High,Bacillaceae_1,Abundance,6,0.001,0.001
D05,Low,Bacillaceae_1,Abundance,6,0.001,0.002
D05,Medium,Bacillaceae_1,Abundance,6,0,0
D09,Control,Bacillaceae_1,Abundance,6,0,0
D09,High,Bacillaceae_1,Abundance,6,0,0
D09,Low,Bacillaceae_1,Abundance,6,0,0
D09,Medium,Bacillaceae_1,Abundance,6,0,0
D02,Control,Bacteroidaceae,Abundance,6,0.625,0.489
D02,High,Bacteroidaceae,Abundance,6,0.976,0.816
D02,Low,Bacteroidaceae,Abundance,6,0.351,0.128
D02,Medium,Bacteroidaceae,Abundance,6,0.758,0.575
D05,Control,Bacteroidaceae,Abundance,6,0.252,0.128
D05,High,Bacteroidaceae,Abundance,6,2.978,1.886
D05,Low,Bacteroidaceae,Abundance,6,0.619,0.331
D05,Medium,Bacteroidaceae,Abundance,6,1.303,1.152
D09,Control,Bacteroidaceae,Abundance,6,0.46,0.315
D09,High,Bacteroidaceae,Abundance,6,2.904,1.454
D09,Low,Bacteroidaceae,Abundance,6,3.47,2.384
D09,Medium,Bacteroidaceae,Abundance,6,3.128,3.543
D02,Control,Bifidobacteriaceae,Abundance,6,0,0.001
D02,High,Bifidobacteriaceae,Abundance,6,0.002,0.005
D02,Low,Bifidobacteriaceae,Abundance,6,0.001,0.001
D02,Medium,Bifidobacteriaceae,Abundance,6,0,0.001
D05,Control,Bifidobacteriaceae,Abundance,6,0.001,0.001
D05,High,Bifidobacteriaceae,Abundance,6,0.012,0.028
D05,Low,Bifidobacteriaceae,Abundance,6,0,0
D05,Medium,Bifidobacteriaceae,Abundance,6,0,0
D09,Control,Bifidobacteriaceae,Abundance,6,0,0.001
D09,High,Bifidobacteriaceae,Abundance,6,0.008,0.016
D09,Low,Bifidobacteriaceae,Abundance,6,0,0
D09,Medium,Bifidobacteriaceae,Abundance,6,0.016,0.04
D02,Control,Burkholderiaceae,Abundance,6,0.001,0.001
D02,High,Burkholderiaceae,Abundance,6,0.001,0.002
D02,Low,Burkholderiaceae,Abundance,6,0.001,0.002
D02,Medium,Burkholderiaceae,Abundance,6,0.001,0.002
D05,Control,Burkholderiaceae,Abundance,6,0,0.001
D05,High,Burkholderiaceae,Abundance,6,0.001,0.001
D05,Low,Burkholderiaceae,Abundance,6,0.001,0.001
D05,Medium,Burkholderiaceae,Abundance,6,0,0.001
D09,Control,Burkholderiaceae,Abundance,6,0.001,0.002
D09,High,Burkholderiaceae,Abundance,6,0.001,0.001
D09,Low,Burkholderiaceae,Abundance,6,0,0
D09,Medium,Burkholderiaceae,Abundance,6,0.001,0.001
D02,Control,Catabacteriaceae,Abundance,6,0.007,0.013
D02,High,Catabacteriaceae,Abundance,6,0.002,0.003
D02,Low,Catabacteriaceae,Abundance,6,0.001,0.001
D02,Medium,Catabacteriaceae,Abundance,6,0.001,0.002
D05,Control,Catabacteriaceae,Abundance,6,0.007,0.016
D05,High,Catabacteriaceae,Abundance,6,0.001,0.002
D05,Low,Catabacteriaceae,Abundance,6,0,0.001
D05,Medium,Catabacteriaceae,Abundance,6,0.001,0.002
D09,Control,Catabacteriaceae,Abundance,6,0.002,0.002
D09,High,Catabacteriaceae,Abundance,6,0,0
D09,Low,Catabacteriaceae,Abundance,6,0.005,0.006
D09,Medium,Catabacteriaceae,Abundance,6,0.001,0.002
D02,Control,Caulobacteraceae,Abundance,6,0.002,0.002
D02,High,Caulobacteraceae,Abundance,6,0,0
D02,Low,Caulobacteraceae,Abundance,6,0,0.001
D02,Medium,Caulobacteraceae,Abundance,6,0,0.001
D05,Control,Caulobacteraceae,Abundance,6,0,0
D05,High,Caulobacteraceae,Abundance,6,0,0
D05,Low,Caulobacteraceae,Abundance,6,0,0.001
D05,Medium,Caulobacteraceae,Abundance,6,0.001,0.001
D09,Control,Caulobacteraceae,Abundance,6,0,0.001
D09,High,Caulobacteraceae,Abundance,6,0,0.001
D09,Low,Caulobacteraceae,Abundance,6,0.001,0.001
D09,Medium,Caulobacteraceae,Abundance,6,0,0.001
D02,Control,Chitinophagaceae,Abundance,6,0.001,0.001
D02,High,Chitinophagaceae,Abundance,6,0.001,0.001
D02,Low,Chitinophagaceae,Abundance,6,0,0
D02,Medium,Chitinophagaceae,Abundance,6,0.001,0.001
D05,Control,Chitinophagaceae,Abundance,6,0.001,0.002
D05,High,Chitinophagaceae,Abundance,6,0,0.001
D05,Low,Chitinophagaceae,Abundance,6,0,0
D05,Medium,Chitinophagaceae,Abundance,6,0.001,0.002
D09,Control,Chitinophagaceae,Abundance,6,0,0
D09,High,Chitinophagaceae,Abundance,6,0.001,0.002
D09,Low,Chitinophagaceae,Abundance,6,0,0
D09,Medium,Chitinophagaceae,Abundance,6,0.001,0.001
D02,Control,Christensenellaceae,Abundance,6,0.009,0.005
D02,High,Christensenellaceae,Abundance,6,0.008,0.007
D02,Low,Christensenellaceae,Abundance,6,0.006,0.005
D02,Medium,Christensenellaceae,Abundance,6,0.008,0.005
D05,Control,Christensenellaceae,Abundance,6,0.008,0.008
D05,High,Christensenellaceae,Abundance,6,0.006,0.005
D05,Low,Christensenellaceae,Abundance,6,0.004,0.003
D05,Medium,Christensenellaceae,Abundance,6,0.008,0.006
D09,Control,Christensenellaceae,Abundance,6,0.006,0.006
D09,High,Christensenellaceae,Abundance,6,0.003,0.004
D09,Low,Christensenellaceae,Abundance,6,0.009,0.007
D09,Medium,Christensenellaceae,Abundance,6,0.005,0.003
D02,Control,Class_Clostridia,Abundance,6,0.355,0.224
D02,High,Class_Clostridia,Abundance,6,0.232,0.106
D02,Low,Class_Clostridia,Abundance,6,0.275,0.178
D02,Medium,Class_Clostridia,Abundance,6,0.2,0.078
D05,Control,Class_Clostridia,Abundance,6,0.29,0.219
D05,High,Class_Clostridia,Abundance,6,0.44,0.676
D05,Low,Class_Clostridia,Abundance,6,0.155,0.071
D05,Medium,Class_Clostridia,Abundance,6,0.334,0.239
D09,Control,Class_Clostridia,Abundance,6,0.237,0.167
D09,High,Class_Clostridia,Abundance,6,0.409,0.417
D09,Low,Class_Clostridia,Abundance,6,0.131,0.074
D09,Medium,Class_Clostridia,Abundance,6,0.265,0.153
D02,Control,Class_Deltaproteobacteria,Abundance,6,0.039,0.035
D02,High,Class_Deltaproteobacteria,Abundance,6,0.059,0.055
D02,Low,Class_Deltaproteobacteria,Abundance,6,0.034,0.027
D02,Medium,Class_Deltaproteobacteria,Abundance,6,0.03,0.023
D05,Control,Class_Deltaproteobacteria,Abundance,6,0.018,0.015
D05,High,Class_Deltaproteobacteria,Abundance,6,0.036,0.025
D05,Low,Class_Deltaproteobacteria,Abundance,6,0.042,0.034
D05,Medium,Class_Deltaproteobacteria,Abundance,6,0.034,0.056
D09,Control,Class_Deltaproteobacteria,Abundance,6,0.015,0.01
D09,High,Class_Deltaproteobacteria,Abundance,6,0.014,0.017
D09,Low,Class_Deltaproteobacteria,Abundance,6,0.045,0.032
D09,Medium,Class_Deltaproteobacteria,Abundance,6,0.013,0.013
D02,Control,Clostridiaceae_1,Abundance,6,0.007,0.014
D02,High,Clostridiaceae_1,Abundance,6,0.163,0.368
D02,Low,Clostridiaceae_1,Abundance,6,0.003,0.004
D02,Medium,Clostridiaceae_1,Abundance,6,0.016,0.031
D05,Control,Clostridiaceae_1,Abundance,6,0.008,0.018
D05,High,Clostridiaceae_1,Abundance,6,0.005,0.012
D05,Low,Clostridiaceae_1,Abundance,6,0.019,0.047
D05,Medium,Clostridiaceae_1,Abundance,6,0.043,0.084
D09,Control,Clostridiaceae_1,Abundance,6,1.367,3.348
D09,High,Clostridiaceae_1,Abundance,6,0.997,2.404
D09,Low,Clostridiaceae_1,Abundance,6,0.034,0.059
D09,Medium,Clostridiaceae_1,Abundance,6,0.308,0.524
D02,Control,Clostridiales_Incertae_Sedis_XIII,Abundance,6,0.1,0.078
D02,High,Clostridiales_Incertae_Sedis_XIII,Abundance,6,0.126,0.079
D02,Low,Clostridiales_Incertae_Sedis_XIII,Abundance,6,0.07,0.055
D02,Medium,Clostridiales_Incertae_Sedis_XIII,Abundance,6,0.075,0.046
D05,Control,Clostridiales_Incertae_Sedis_XIII,Abundance,6,0.068,0.058
D05,High,Clostridiales_Incertae_Sedis_XIII,Abundance,6,0.11,0.048
D05,Low,Clostridiales_Incertae_Sedis_XIII,Abundance,6,0.093,0.048
D05,Medium,Clostridiales_Incertae_Sedis_XIII,Abundance,6,0.056,0.029
D09,Control,Clostridiales_Incertae_Sedis_XIII,Abundance,6,0.102,0.075
D09,High,Clostridiales_Incertae_Sedis_XIII,Abundance,6,0.13,0.072
D09,Low,Clostridiales_Incertae_Sedis_XIII,Abundance,6,0.132,0.074
D09,Medium,Clostridiales_Incertae_Sedis_XIII,Abundance,6,0.133,0.064
D02,Control,Deferribacteraceae,Abundance,6,0.003,0.004
D02,High,Deferribacteraceae,Abundance,6,0.076,0.091
D02,Low,Deferribacteraceae,Abundance,6,0.022,0.049
D02,Medium,Deferribacteraceae,Abundance,6,0.079,0.153
D05,Control,Deferribacteraceae,Abundance,6,0.023,0.042
D05,High,Deferribacteraceae,Abundance,6,0.041,0.074
D05,Low,Deferribacteraceae,Abundance,6,0.007,0.006
D05,Medium,Deferribacteraceae,Abundance,6,0.014,0.016
D09,Control,Deferribacteraceae,Abundance,6,0.002,0.005
D09,High,Deferribacteraceae,Abundance,6,0.022,0.025
D09,Low,Deferribacteraceae,Abundance,6,0.021,0.041
D09,Medium,Deferribacteraceae,Abundance,6,0.011,0.019
D02,Control,Desulfovibrionaceae,Abundance,6,0.896,0.745
D02,High,Desulfovibrionaceae,Abundance,6,1.28,0.911
D02,Low,Desulfovibrionaceae,Abundance,6,0.833,0.529
D02,Medium,Desulfovibrionaceae,Abundance,6,0.938,0.578
D05,Control,Desulfovibrionaceae,Abundance,6,1.044,0.741
D05,High,Desulfovibrionaceae,Abundance,6,0.828,0.544
D05,Low,Desulfovibrionaceae,Abundance,6,0.771,0.342
D05,Medium,Desulfovibrionaceae,Abundance,6,0.938,0.76
D09,Control,Desulfovibrionaceae,Abundance,6,0.782,0.845
D09,High,Desulfovibrionaceae,Abundance,6,0.598,0.396
D09,Low,Desulfovibrionaceae,Abundance,6,0.55,0.344
D09,Medium,Desulfovibrionaceae,Abundance,6,0.653,0.521
D02,Control,Eggerthellaceae,Abundance,6,0.424,0.238
D02,High,Eggerthellaceae,Abundance,6,0.64,0.201
D02,Low,Eggerthellaceae,Abundance,6,0.679,0.513
D02,Medium,Eggerthellaceae,Abundance,6,0.787,0.738
D05,Control,Eggerthellaceae,Abundance,6,0.396,0.32
