Day,Group,Genus,variable,n,mean,sd
D02,Control,Acetatifactor,Abundance,6,2.514,1.309
D02,High,Acetatifactor,Abundance,6,1.203,1.918
D02,Low,Acetatifactor,Abundance,6,2.357,1.844
D02,Medium,Acetatifactor,Abundance,6,2.845,2.3
D05,Control,Acetatifactor,Abundance,6,3.568,3.642
D05,High,Acetatifactor,Abundance,6,0.785,1.539
D05,Low,Acetatifactor,Abundance,6,0.315,0.506
D05,Medium,Acetatifactor,Abundance,6,1.25,0.79
D09,Control,Acetatifactor,Abundance,6,2.353,3.671
D09,High,Acetatifactor,Abundance,6,0.387,0.735
D09,Low,Acetatifactor,Abundance,6,0.409,0.359
D09,Medium,Acetatifactor,Abundance,6,0.392,0.416
D02,Control,Acutalibacter,Abundance,6,0.182,0.139
D02,High,Acutalibacter,Abundance,6,0.096,0.104
D02,Low,Acutalibacter,Abundance,6,0.11,0.04
D02,Medium,Acutalibacter,Abundance,6,0.086,0.162
D05,Control,Acutalibacter,Abundance,6,0.152,0.13
D05,High,Acutalibacter,Abundance,6,0.077,0.068
D05,Low,Acutalibacter,Abundance,6,0.131,0.089
D05,Medium,Acutalibacter,Abundance,6,0.084,0.138
D09,Control,Acutalibacter,Abundance,6,0.102,0.065
D09,High,Acutalibacter,Abundance,6,0.044,0.047
D09,Low,Acutalibacter,Abundance,6,0.06,0.057
D09,Medium,Acutalibacter,Abundance,6,0.086,0.114
D02,Control,Adlercreutzia,Abundance,6,0.175,0.128
D02,High,Adlercreutzia,Abundance,6,0.219,0.06
D02,Low,Adlercreutzia,Abundance,6,0.251,0.178
D02,Medium,Adlercreutzia,Abundance,6,0.249,0.278
D05,Control,Adlercreutzia,Abundance,6,0.145,0.134
D05,High,Adlercreutzia,Abundance,6,0.198,0.174
D05,Low,Adlercreutzia,Abundance,6,0.278,0.142
D05,Medium,Adlercreutzia,Abundance,6,0.255,0.07
D09,Control,Adlercreutzia,Abundance,6,0.273,0.279
D09,High,Adlercreutzia,Abundance,6,0.284,0.072
D09,Low,Adlercreutzia,Abundance,6,0.691,0.74
D09,Medium,Adlercreutzia,Abundance,6,0.489,0.613
D02,Control,Agathobacter,Abundance,6,0.031,0.068
D02,High,Agathobacter,Abundance,6,0.004,0.004
D02,Low,Agathobacter,Abundance,6,0,0.001
D02,Medium,Agathobacter,Abundance,6,0.004,0.005
D05,Control,Agathobacter,Abundance,6,0.003,0.004
D05,High,Agathobacter,Abundance,6,0,0.001
D05,Low,Agathobacter,Abundance,6,0.002,0.002
D05,Medium,Agathobacter,Abundance,6,0.002,0.003
D09,Control,Agathobacter,Abundance,6,0.003,0.006
D09,High,Agathobacter,Abundance,6,0.001,0.002
D09,Low,Agathobacter,Abundance,6,0,0
D09,Medium,Agathobacter,Abundance,6,0.002,0.004
D02,Control,Agathobaculum,Abundance,6,0.025,0.017
D02,High,Agathobaculum,Abundance,6,0.082,0.075
D02,Low,Agathobaculum,Abundance,6,0.017,0.012
D02,Medium,Agathobaculum,Abundance,6,0.071,0.054
D05,Control,Agathobaculum,Abundance,6,0.062,0.08
D05,High,Agathobaculum,Abundance,6,0.055,0.07
D05,Low,Agathobaculum,Abundance,6,0.044,0.056
D05,Medium,Agathobaculum,Abundance,6,0.079,0.073
D09,Control,Agathobaculum,Abundance,6,0.059,0.063
D09,High,Agathobaculum,Abundance,6,0.012,0.01
D09,Low,Agathobaculum,Abundance,6,0.031,0.028
D09,Medium,Agathobaculum,Abundance,6,0.105,0.157
D02,Control,Akkermansia,Abundance,6,0.001,0.004
D02,High,Akkermansia,Abundance,6,0.013,0.018
D02,Low,Akkermansia,Abundance,6,0.001,0.003
D02,Medium,Akkermansia,Abundance,6,0.006,0.009
D05,Control,Akkermansia,Abundance,6,0.003,0.004
D05,High,Akkermansia,Abundance,6,0.031,0.032
D05,Low,Akkermansia,Abundance,6,0.002,0.004
D05,Medium,Akkermansia,Abundance,6,0.007,0.011
D09,Control,Akkermansia,Abundance,6,0.001,0.001
D09,High,Akkermansia,Abundance,6,0.019,0.021
D09,Low,Akkermansia,Abundance,6,0.012,0.017
D09,Medium,Akkermansia,Abundance,6,0.014,0.008
D02,Control,Alistipes,Abundance,6,1.54,0.558
D02,High,Alistipes,Abundance,6,2.074,2.217
D02,Low,Alistipes,Abundance,6,1.904,0.967
D02,Medium,Alistipes,Abundance,6,2.013,0.938
D05,Control,Alistipes,Abundance,6,1.663,0.992
D05,High,Alistipes,Abundance,6,1.459,1.179
D05,Low,Alistipes,Abundance,6,0.754,0.459
D05,Medium,Alistipes,Abundance,6,1.589,1.267
D09,Control,Alistipes,Abundance,6,1.777,1.631
D09,High,Alistipes,Abundance,6,0.349,0.312
D09,Low,Alistipes,Abundance,6,0.549,0.411
D09,Medium,Alistipes,Abundance,6,0.326,0.478
D02,Control,Amedibacillus,Abundance,6,0.053,0.045
D02,High,Amedibacillus,Abundance,6,0.102,0.115
D02,Low,Amedibacillus,Abundance,6,0.099,0.085
D02,Medium,Amedibacillus,Abundance,6,0.009,0.008
D05,Control,Amedibacillus,Abundance,6,0.037,0.031
D05,High,Amedibacillus,Abundance,6,0.032,0.046
D05,Low,Amedibacillus,Abundance,6,0.024,0.019
D05,Medium,Amedibacillus,Abundance,6,0.005,0.006
D09,Control,Amedibacillus,Abundance,6,0.078,0.126
D09,High,Amedibacillus,Abundance,6,0.016,0.015
D09,Low,Amedibacillus,Abundance,6,0.044,0.075
D09,Medium,Amedibacillus,Abundance,6,0.002,0.003
D02,Control,Anaerofilum,Abundance,6,0.028,0.013
D02,High,Anaerofilum,Abundance,6,0.029,0.014
D02,Low,Anaerofilum,Abundance,6,0.027,0.017
D02,Medium,Anaerofilum,Abundance,6,0.026,0.022
D05,Control,Anaerofilum,Abundance,6,0.029,0.015
D05,High,Anaerofilum,Abundance,6,0.02,0.015
D05,Low,Anaerofilum,Abundance,6,0.021,0.011
D05,Medium,Anaerofilum,Abundance,6,0.027,0.031
D09,Control,Anaerofilum,Abundance,6,0.024,0.021
D09,High,Anaerofilum,Abundance,6,0.021,0.015
D09,Low,Anaerofilum,Abundance,6,0.018,0.011
D09,Medium,Anaerofilum,Abundance,6,0.016,0.012
D02,Control,Anaerofustis,Abundance,6,0.003,0.002
D02,High,Anaerofustis,Abundance,6,0.004,0.004
D02,Low,Anaerofustis,Abundance,6,0.007,0.007
