Treatment,Time_point,Genus,variable,n,mean,sd
DMSO,T0,Acinetobacter,Abundance,3,0,0
Imolope_high,T0,Acinetobacter,Abundance,3,0,0
Imolope_low,T0,Acinetobacter,Abundance,3,0.366,0.633
Lop_high,T0,Acinetobacter,Abundance,3,0.002,0.003
Lop_low,T0,Acinetobacter,Abundance,3,0,0
Saline,T0,Acinetobacter,Abundance,3,0,0
DMSO,T24,Acinetobacter,Abundance,3,0,0
Imolope_high,T24,Acinetobacter,Abundance,3,0,0
Imolope_low,T24,Acinetobacter,Abundance,3,0,0
Lop_high,T24,Acinetobacter,Abundance,3,0,0
Lop_low,T24,Acinetobacter,Abundance,3,0,0
Saline,T24,Acinetobacter,Abundance,3,0,0
DMSO,T48,Acinetobacter,Abundance,3,0,0
Imolope_high,T48,Acinetobacter,Abundance,3,0,0
Imolope_low,T48,Acinetobacter,Abundance,3,0,0
Lop_high,T48,Acinetobacter,Abundance,3,0,0
Lop_low,T48,Acinetobacter,Abundance,3,0,0
Saline,T48,Acinetobacter,Abundance,3,0,0
DMSO,T72,Acinetobacter,Abundance,3,0,0
Imolope_high,T72,Acinetobacter,Abundance,3,0,0
Imolope_low,T72,Acinetobacter,Abundance,3,0,0
Lop_high,T72,Acinetobacter,Abundance,3,0,0
Lop_low,T72,Acinetobacter,Abundance,3,0,0
Saline,T72,Acinetobacter,Abundance,3,0,0
DMSO,T0,Adlercreutzia,Abundance,3,0.945,0.265
Imolope_high,T0,Adlercreutzia,Abundance,3,1.3,0.142
Imolope_low,T0,Adlercreutzia,Abundance,3,0.894,0.085
Lop_high,T0,Adlercreutzia,Abundance,3,0.782,0.257
Lop_low,T0,Adlercreutzia,Abundance,3,0.988,0.189
Saline,T0,Adlercreutzia,Abundance,3,1.203,0.122
DMSO,T24,Adlercreutzia,Abundance,3,0.019,0.021
Imolope_high,T24,Adlercreutzia,Abundance,3,0.009,0.005
Imolope_low,T24,Adlercreutzia,Abundance,3,0.029,0.017
Lop_high,T24,Adlercreutzia,Abundance,3,0.018,0.013
Lop_low,T24,Adlercreutzia,Abundance,3,0.007,0.005
Saline,T24,Adlercreutzia,Abundance,3,0.058,0.019
DMSO,T48,Adlercreutzia,Abundance,3,0.024,0.013
Imolope_high,T48,Adlercreutzia,Abundance,3,0.015,0.008
Imolope_low,T48,Adlercreutzia,Abundance,3,0.032,0.009
Lop_high,T48,Adlercreutzia,Abundance,3,0.057,0.023
Lop_low,T48,Adlercreutzia,Abundance,3,0.035,0.017
Saline,T48,Adlercreutzia,Abundance,3,0.07,0.011
DMSO,T72,Adlercreutzia,Abundance,3,0.045,0.01
Imolope_high,T72,Adlercreutzia,Abundance,3,0.038,0.006
Imolope_low,T72,Adlercreutzia,Abundance,3,0.034,0.008
Lop_high,T72,Adlercreutzia,Abundance,3,0.058,0.032
Lop_low,T72,Adlercreutzia,Abundance,3,0.034,0.001
Saline,T72,Adlercreutzia,Abundance,3,0.199,0.261
DMSO,T0,Agathobaculum,Abundance,3,0.018,0.005
Imolope_high,T0,Agathobaculum,Abundance,3,0.05,0.026
Imolope_low,T0,Agathobaculum,Abundance,3,0.004,0.008
Lop_high,T0,Agathobaculum,Abundance,3,0.017,0.01
Lop_low,T0,Agathobaculum,Abundance,3,0.004,0
Saline,T0,Agathobaculum,Abundance,3,0,0
DMSO,T24,Agathobaculum,Abundance,3,0,0
Imolope_high,T24,Agathobaculum,Abundance,3,0,0
Imolope_low,T24,Agathobaculum,Abundance,3,0,0
Lop_high,T24,Agathobaculum,Abundance,3,0,0
Lop_low,T24,Agathobaculum,Abundance,3,0,0
Saline,T24,Agathobaculum,Abundance,3,0,0
